product_id,category,brand,cost_price,selling_price,inventory,competitor_price,previous_sales,customer_rating,discount,seasonality,promotion,day_of_week,demand
39,Electronics,BrandA,26134,25975,79,5375,22,2.71,22.06,1,1,2,58
29,Electronics,BrandC,9668,15601,281,42550,63,4.67,2.4,1,0,3,132
15,Sports,BrandE,21461,38913,137,13709,90,3.75,10.78,0,0,4,69
43,Sports,BrandE,44596,34848,63,28543,97,3.24,25.75,0,1,6,89
8,Beauty,BrandA,46587,43333,186,30493,75,3.16,6.98,1,0,4,62
21,Home,BrandB,24352,23618,68,40216,74,3.58,3.47,0,1,0,92
39,Electronics,BrandD,33610,47394,264,39571,25,5.0,9.78,1,0,6,67
19,Home,BrandB,32674,20240,197,18557,48,3.05,6.61,0,1,6,58
23,Home,BrandB,34715,12280,147,20327,43,2.76,27.76,0,1,4,101
11,Sports,BrandA,27455,54159,108,19265,38,3.96,26.04,0,1,2,55
11,Beauty,BrandA,7081,39102,218,26725,41,3.72,14.99,0,0,0,51
24,Fashion,BrandA,45119,58427,246,52948,45,3.81,1.84,0,1,2,67
36,Beauty,BrandA,6817,39278,213,56498,88,4.17,21.44,1,0,0,97
40,Beauty,BrandE,43356,25617,97,28532,40,3.17,18.7,0,0,4,79
24,Home,BrandA,46214,23018,146,44816,97,4.78,29.12,0,0,0,131
3,Beauty,BrandE,27149,10879,116,10482,17,3.59,16.77,1,0,1,42
22,Electronics,BrandE,23632,12951,63,39350,88,2.82,10.09,1,0,6,143
2,Home,BrandA,17289,46599,47,23066,57,4.36,15.57,1,1,3,80
24,Electronics,BrandC,15067,20193,211,29257,2,4.11,29.38,0,0,4,70
44,Fashion,BrandD,15368,21166,272,6498,96,3.29,20.89,0,1,5,85
30,Home,BrandB,24870,30906,122,10327,62,4.05,20.16,1,1,3,84
38,Fashion,BrandE,43033,46175,24,41883,88,3.05,7.22,1,0,4,79
2,Home,BrandD,30983,20324,226,58263,9,3.61,22.31,1,1,3,132
21,Sports,BrandC,12966,27264,170,13166,68,4.75,22.51,1,1,1,92
33,Beauty,BrandB,29303,23112,135,43314,81,2.83,9.52,0,0,3,107
12,Sports,BrandB,18730,28690,160,13420,17,3.47,14.51,0,1,0,31
22,Fashion,BrandE,18362,51701,188,58308,50,4.55,8.84,0,0,3,71
44,Beauty,BrandA,43855,58349,94,42613,94,4.92,7.76,0,0,4,80
25,Home,BrandC,31759,36217,98,37992,40,3.63,0.78,0,0,5,56
49,Beauty,BrandE,34039,13856,17,7259,58,3.77,8.56,1,1,5,64
27,Electronics,BrandC,22409,23764,297,41088,75,3.93,16.62,0,1,2,98
42,Beauty,BrandA,31295,26411,234,19858,85,4.83,0.05,1,1,6,93
28,Electronics,BrandA,49568,30806,296,31616,21,4.65,8.5,1,1,3,78
16,Beauty,BrandE,9270,17289,30,22757,18,2.93,26.44,1,0,5,84
15,Electronics,BrandA,11593,24436,79,36592,55,3.59,17.81,0,0,3,72
47,Fashion,BrandD,47071,21675,154,42139,29,3.66,18.24,1,1,6,116
44,Sports,BrandB,693,36918,152,12406,24,4.47,12.1,0,0,5,55
3,Home,BrandE,35275,7914,12,51205,74,4.01,20.29,1,1,6,265
37,Beauty,BrandC,18069,31281,33,12770,17,4.14,5.7,0,0,3,17
7,Sports,BrandD,11690,20895,213,58933,18,5.0,24.56,1,0,4,129
21,Home,BrandE,43252,45282,132,53706,42,2.69,3.5,0,0,3,49
9,Home,BrandA,32827,27827,120,41602,84,3.06,19.68,1,0,6,107
39,Electronics,BrandA,42570,5841,148,1624,45,3.52,10.23,1,0,4,40
18,Fashion,BrandA,20889,29584,239,52022,82,3.37,22.43,1,1,4,139
4,Fashion,BrandA,40697,25585,11,27178,17,2.55,16.49,1,1,2,56
25,Sports,BrandC,2761,3408,49,6206,73,2.73,13.57,0,0,5,76
14,Fashion,BrandD,28869,19075,243,47118,14,4.2,5.08,0,1,0,109
50,Beauty,BrandB,27012,15788,159,35863,49,4.7,19.1,0,0,4,95
9,Fashion,BrandC,7216,58315,185,25304,29,3.79,29.24,1,0,6,58
26,Sports,BrandC,21759,45302,219,16010,95,3.85,24.77,1,0,5,109
2,Fashion,BrandB,29433,45746,92,8926,4,3.14,1.8,1,0,1,14
20,Beauty,BrandB,42189,10714,260,12481,82,4.42,11.29,1,1,3,99
28,Electronics,BrandA,4878,3973,77,6215,20,4.38,27.77,1,0,6,93
47,Sports,BrandC,41083,47835,183,52522,47,3.97,15.09,1,1,1,90
7,Electronics,BrandE,47046,38006,216,36833,9,3.03,19.86,0,0,6,45
44,Electronics,BrandB,20335,31581,297,17672,77,2.74,27.38,0,0,3,71
8,Electronics,BrandB,29533,32186,238,32792,79,2.66,26.21,0,1,2,82
47,Home,BrandD,24500,13241,243,12110,27,3.98,15.05,0,0,6,67
35,Home,BrandE,45996,9412,227,20222,15,4.56,13.13,0,0,4,90
14,Electronics,BrandE,10832,9868,123,9795,92,4.65,10.19,0,1,0,104
17,Sports,BrandB,43104,53574,268,23747,19,3.66,21.57,0,1,4,45
36,Beauty,BrandA,3300,4251,211,21170,90,4.46,8.61,0,1,3,225
50,Beauty,BrandD,30038,12997,99,43829,52,4.87,7.5,1,0,6,147
40,Fashion,BrandE,30619,44433,226,9231,26,3.19,10.69,1,0,0,34
4,Sports,BrandB,8833,27828,280,37738,89,3.49,5.32,1,1,4,97
2,Home,BrandE,5910,3532,235,23103,26,4.83,20.85,1,1,0,247
6,Electronics,BrandD,18339,29183,123,43374,26,3.35,18.49,1,0,3,83
42,Fashion,BrandD,31019,22763,272,29822,46,4.78,14.49,1,0,2,86
4,Beauty,BrandC,6308,23663,277,17640,92,4.95,11.71,1,1,2,98
29,Home,BrandB,7296,14122,68,30531,49,4.15,27.27,0,1,6,119
18,Home,BrandD,21680,33620,15,57874,82,4.54,0.87,0,1,4,113
26,Electronics,BrandC,43556,55606,102,11979,96,4.37,23.07,1,1,1,90
44,Beauty,BrandC,18209,11856,75,38920,53,4.25,27.06,0,0,3,147
34,Sports,BrandE,18043,11808,62,53419,3,3.27,13.39,0,0,4,144
10,Home,BrandE,37918,32545,294,53751,66,2.64,16.52,0,0,4,68
36,Electronics,BrandC,29575,3500,255,7177,97,3.36,28.33,0,0,2,113
14,Sports,BrandE,38255,38778,280,57352,42,4.17,6.37,0,1,6,86
31,Beauty,BrandD,48468,43412,54,18100,19,2.76,15.6,1,0,0,30
48,Home,BrandA,37965,3310,220,7170,17,2.53,14.24,0,1,3,95
15,Sports,BrandD,31002,12767,56,2762,33,2.85,7.75,1,0,0,38
8,Sports,BrandC,17224,34572,275,42498,76,4.29,24.56,1,0,5,111
14,Sports,BrandC,4328,11428,88,59681,49,4.93,26.99,1,0,5,234
23,Home,BrandD,17587,30266,297,54173,56,4.96,23.46,0,1,3,119
40,Home,BrandE,13105,30483,130,20580,63,3.73,5.86,1,0,6,68
21,Fashion,BrandE,31837,57213,76,35281,3,4.67,2.6,1,1,1,47
16,Beauty,BrandC,5982,21283,240,45139,49,4.34,18.16,1,1,5,147
45,Electronics,BrandB,27505,20938,60,56108,55,3.75,1.71,1,0,2,132
18,Sports,BrandE,23260,7963,114,15008,26,3.93,20.18,0,1,1,98
47,Fashion,BrandD,5963,2614,196,26727,99,2.84,15.91,1,0,4,370
24,Electronics,BrandE,47128,24449,97,31420,72,4.84,19.88,1,1,5,128
26,Fashion,BrandD,5412,20156,60,35781,52,3.38,17.71,1,0,2,97
25,Home,BrandC,5148,26282,64,10406,7,3.62,12.68,1,1,4,41
45,Sports,BrandE,34123,1106,142,51083,46,4.18,6.03,0,1,1,1434
41,Electronics,BrandD,36134,14389,43,10537,46,3.33,9.17,1,0,3,57
29,Electronics,BrandC,45102,33634,32,39299,16,3.14,15.74,1,0,4,61
15,Electronics,BrandB,49562,33976,53,52851,24,4.08,19.56,1,0,0,79
45,Electronics,BrandD,49834,51513,129,53292,61,2.56,23.38,1,0,3,64
1,Electronics,BrandB,3612,37132,17,37524,54,4.3,23.02,1,1,3,101
25,Fashion,BrandB,22554,20573,40,33773,62,3.79,29.18,1,1,1,130
7,Sports,BrandA,4992,13750,105,47815,1,4.01,8.58,0,1,1,124
9,Home,BrandE,22707,1380,286,32788,49,4.08,2.13,1,1,2,773
24,Home,BrandD,15614,19608,90,28812,25,3.82,10.37,0,0,2,59
1,Home,BrandB,34785,19204,8,26999,10,3.96,22.3,0,1,0,70
44,Home,BrandA,16518,22344,227,35157,80,4.21,13.14,1,0,3,107
8,Fashion,BrandC,21886,37825,170,59561,16,4.38,24.53,0,1,6,90
24,Beauty,BrandD,18240,2063,282,30763,58,4.32,16.48,1,0,0,507
11,Sports,BrandB,44699,42991,134,4617,72,4.67,27.89,0,0,0,59
17,Electronics,BrandE,8710,35760,35,56932,29,2.97,28.44,1,0,6,98
8,Beauty,BrandA,44863,2238,15,58463,92,3.5,2.08,0,0,6,840
35,Home,BrandB,46139,36876,100,3636,6,4.87,13.69,0,0,6,25
35,Beauty,BrandE,13243,57594,194,37330,16,3.49,18.29,1,1,1,71
33,Sports,BrandB,42592,42220,196,15206,20,2.81,7.68,0,0,0,10
5,Electronics,BrandD,44799,26375,270,29505,80,3.81,12.21,0,1,0,100
42,Electronics,BrandD,7088,18987,132,15018,71,2.77,20.33,0,1,4,84
39,Sports,BrandD,3811,874,242,48768,78,3.01,6.8,0,0,6,1715
41,Sports,BrandA,22932,27432,116,26726,43,5.0,18.06,0,1,6,85
28,Home,BrandD,34255,35698,149,28372,26,3.85,20.92,1,1,2,51
7,Electronics,BrandE,3821,37755,69,39117,90,3.21,2.71,0,1,2,76
9,Beauty,BrandB,16312,54012,251,53113,78,4.99,14.93,0,0,3,81
8,Fashion,BrandC,37883,12812,227,59208,71,4.92,7.89,1,0,2,188
12,Fashion,BrandE,48780,40574,110,59913,33,3.6,21.73,1,0,5,86
34,Sports,BrandE,13646,10389,185,51671,26,3.15,5.69,1,0,3,167
33,Home,BrandD,14154,45514,188,27981,45,4.6,26.77,0,1,6,72
48,Fashion,BrandA,36320,20255,230,49142,84,4.29,12.93,0,1,4,129
23,Electronics,BrandB,1226,51419,269,28791,63,4.22,5.94,0,1,2,60
24,Sports,BrandA,4260,34619,282,51194,67,4.73,13.14,0,1,4,114
37,Beauty,BrandB,22690,8319,93,39028,52,4.22,12.26,1,1,2,194
35,Sports,BrandB,2375,6733,180,48919,68,3.21,12.87,1,1,2,272
44,Beauty,BrandA,23877,42028,22,19310,26,4.23,17.57,0,0,4,40
40,Sports,BrandE,47237,5646,110,1779,75,3.26,15.64,0,1,0,67
22,Sports,BrandB,4533,25318,275,30550,2,4.4,4.49,0,1,0,62
27,Sports,BrandA,38711,35375,171,47451,14,4.05,1.97,0,1,0,38
35,Beauty,BrandB,17873,36958,17,21290,30,2.69,21.88,1,0,5,58
1,Beauty,BrandC,4244,19619,36,56132,49,3.78,16.79,1,1,0,155
35,Sports,BrandE,25495,4873,44,31651,12,3.36,10.77,0,1,2,209
37,Fashion,BrandD,17477,44533,152,16027,90,3.32,24.25,1,0,6,69
47,Home,BrandB,32902,27100,222,13455,44,4.01,11.64,0,1,1,54
14,Home,BrandC,35042,51145,223,7935,33,3.31,23.88,0,0,4,29
3,Home,BrandD,11151,5469,86,17897,13,4.44,9.17,1,0,6,129
1,Beauty,BrandD,34203,38264,212,22173,78,2.68,2.19,0,1,1,42
5,Beauty,BrandB,13895,46514,205,2731,88,4.15,27.98,1,1,6,80
26,Fashion,BrandA,30308,14911,42,41982,98,4.52,11.84,0,0,5,157
14,Home,BrandB,37076,23955,215,42563,26,4.18,23.78,1,1,1,102
39,Home,BrandC,17215,28662,253,59585,21,3.74,8.37,0,1,3,100
27,Sports,BrandD,44909,20056,231,14987,28,4.88,19.39,1,0,0,72
9,Beauty,BrandB,24806,21006,52,39379,48,3.25,26.2,0,0,5,80
15,Home,BrandA,19586,5697,22,45163,40,2.55,1.25,0,1,6,264
15,Fashion,BrandB,14876,56884,299,32930,66,3.58,24.92,1,0,2,75
26,Fashion,BrandE,6389,18076,200,19737,73,2.58,17.14,0,1,0,78
42,Home,BrandA,38322,41580,191,27752,87,4.88,18.22,1,1,0,107
13,Beauty,BrandC,37136,38755,228,4040,79,3.02,15.69,1,1,1,71
32,Fashion,BrandD,21084,11278,233,41344,77,4.47,26.23,0,1,3,189
39,Sports,BrandB,49853,19324,81,49364,23,4.44,1.3,0,0,0,103
49,Fashion,BrandA,35110,51328,192,45903,81,3.04,7.83,0,1,6,79
32,Electronics,BrandE,10558,39894,274,1841,48,4.05,26.27,0,0,6,35
4,Electronics,BrandA,9601,45067,99,26125,2,2.62,22.57,1,1,4,46
30,Beauty,BrandE,12997,1089,136,58410,84,3.71,0.53,0,1,4,1683
37,Home,BrandC,5158,34467,43,19981,20,2.54,15.51,0,0,0,35
23,Beauty,BrandD,11881,46280,76,42749,59,4.8,15.89,0,1,1,106
39,Beauty,BrandC,40812,49067,285,21125,46,4.94,12.03,1,0,1,74
45,Beauty,BrandB,40986,2555,164,35506,3,3.06,8.92,0,0,2,422
15,Beauty,BrandA,47119,41593,191,32813,55,3.02,20.45,1,1,5,83
43,Sports,BrandE,17654,14494,195,4970,12,4.38,6.23,0,1,5,37
29,Sports,BrandE,20039,58702,124,43514,40,3.13,23.97,1,1,5,63
36,Fashion,BrandA,12277,36231,224,5383,66,4.74,24.09,0,1,3,73
13,Electronics,BrandA,34896,53515,57,50346,78,3.93,12.46,0,0,1,84
32,Beauty,BrandB,30873,5686,226,40584,16,3.38,8.51,1,1,2,242
7,Fashion,BrandC,33654,32998,135,30509,83,4.58,8.52,0,1,4,94
22,Electronics,BrandE,6531,2181,241,35252,34,3.73,14.47,0,1,6,530
28,Home,BrandB,28497,57108,250,53362,44,4.78,21.59,0,1,5,78
2,Sports,BrandC,6939,4431,230,4486,6,4.82,10.77,1,1,4,69
42,Electronics,BrandB,23285,57114,212,22350,77,2.91,18.3,0,0,4,46
45,Home,BrandE,13892,17535,100,29406,64,2.51,11.47,1,1,0,94
6,Electronics,BrandA,29169,28498,204,9890,22,4.96,9.14,1,0,3,37
28,Sports,BrandA,29439,26813,251,38896,18,4.77,0.75,1,1,2,75
28,Sports,BrandC,2782,20177,76,40149,12,2.64,0.12,0,1,3,80
44,Fashion,BrandD,35124,17966,189,40361,52,4.58,6.82,1,1,0,118
44,Beauty,BrandC,48938,21492,10,30409,94,3.64,12.19,1,0,2,105
20,Electronics,BrandD,24864,21152,210,46129,51,3.15,25.54,0,1,2,112
30,Electronics,BrandB,2498,44226,36,15592,71,4.7,23.95,1,0,1,89
11,Home,BrandB,32205,53129,103,10343,96,2.99,8.01,1,0,3,70
28,Sports,BrandE,38744,49779,260,10643,48,4.87,7.34,0,1,3,62
25,Electronics,BrandD,9928,42034,191,43940,19,3.01,6.82,0,0,1,42
39,Sports,BrandE,37937,12589,80,46460,6,4.03,10.18,1,1,4,144
33,Electronics,BrandA,12836,25035,181,21742,84,3.06,14.95,0,1,0,73
1,Fashion,BrandD,9842,11954,291,56934,27,3.86,13.16,0,0,3,182
27,Beauty,BrandC,40332,21774,259,44594,53,4.21,6.55,0,1,1,100
13,Electronics,BrandA,7946,12142,194,7569,48,2.98,3.91,1,1,6,65
41,Sports,BrandA,38892,46989,131,57459,7,3.8,0.38,1,0,2,59
3,Fashion,BrandC,7961,54447,291,41137,59,3.67,4.62,0,0,5,48
39,Electronics,BrandA,35087,38027,258,45006,69,2.68,21.16,1,0,6,93
6,Home,BrandD,11016,16899,217,43533,11,4.55,7.31,0,0,1,101
8,Beauty,BrandE,14249,7991,254,56071,15,3.34,14.06,0,0,5,239
27,Electronics,BrandA,18014,41628,88,21618,64,3.94,17.74,0,0,4,56
9,Fashion,BrandD,35926,812,17,29079,3,3.79,26.61,0,1,0,1099
37,Home,BrandB,36768,22215,49,55831,69,3.78,26.67,0,0,5,124
33,Fashion,BrandD,25450,20281,131,43639,23,2.77,22.37,1,0,4,97
42,Fashion,BrandE,35388,49392,118,25974,53,3.56,1.05,1,1,5,61
44,Home,BrandD,37288,27200,280,18396,37,3.63,17.25,1,1,2,69
24,Fashion,BrandC,10713,32726,209,3662,9,4.33,23.6,1,0,2,26
15,Home,BrandE,36527,17223,277,14551,15,4.6,0.52,0,0,2,43
32,Electronics,BrandB,28511,2124,62,52790,3,3.86,16.49,0,1,2,789
32,Home,BrandC,43349,52801,223,46447,93,2.72,25.73,1,0,1,94
24,Home,BrandD,35091,20252,113,53049,70,3.09,14.22,1,0,2,131
41,Beauty,BrandE,18358,58560,283,5996,17,2.91,0.12,0,1,6,21
49,Home,BrandB,19126,11508,178,57056,26,2.81,0.33,0,0,2,156
49,Home,BrandC,13967,39511,268,15445,21,3.41,12.5,0,1,6,48
12,Electronics,BrandB,40258,7689,115,6430,72,3.07,4.65,1,0,1,69
39,Beauty,BrandD,3634,24320,191,14621,21,3.05,19.93,0,1,2,47
2,Sports,BrandB,17243,39729,273,33594,11,2.64,21.26,0,1,4,44
3,Electronics,BrandA,15934,1587,233,6302,38,2.54,5.34,1,1,4,151
49,Electronics,BrandC,48275,32502,160,18275,72,2.76,26.66,1,0,3,75
37,Sports,BrandB,10733,20188,193,19723,88,2.93,13.26,1,1,4,92
49,Home,BrandD,49646,30713,276,46049,35,3.58,4.29,0,0,0,65
17,Fashion,BrandD,1641,49901,6,16697,14,3.78,22.93,0,1,0,50
49,Beauty,BrandB,18519,53803,250,18450,14,2.85,23.7,1,1,0,57
2,Fashion,BrandD,20884,53412,214,42679,10,3.56,19.18,0,1,1,65
2,Sports,BrandE,43403,17102,290,23537,12,3.35,25.6,0,0,4,65
28,Electronics,BrandE,46234,21905,17,15697,38,2.96,22.12,0,0,6,40
23,Electronics,BrandE,36629,56192,100,40139,34,2.52,26.47,1,1,0,67
37,Beauty,BrandA,23467,57910,225,23767,41,3.67,13.02,1,0,3,51
32,Electronics,BrandB,41103,26749,242,45739,10,4.21,22.43,0,0,1,63
33,Electronics,BrandA,11672,12953,98,21623,17,3.07,29.99,0,0,3,87
1,Beauty,BrandD,16890,19690,273,9576,17,2.83,21.75,0,1,4,45
19,Beauty,BrandA,3767,8546,175,3587,67,4.72,3.43,0,0,2,56
2,Sports,BrandD,39832,25727,98,43122,62,3.19,15.55,1,1,3,119
44,Electronics,BrandD,26667,39900,153,37554,95,3.06,17.62,1,1,2,97
26,Electronics,BrandC,21812,46920,116,52113,1,4.64,5.23,0,1,1,62
32,Sports,BrandE,28340,46863,59,37648,12,4.54,28.89,0,0,3,58
6,Home,BrandD,19490,4465,120,3541,4,3.62,5.27,1,1,3,49
32,Home,BrandC,44679,52290,147,59811,42,3.72,5.33,0,0,5,51
4,Home,BrandE,6406,16650,205,29456,13,3.04,27.46,1,0,1,99
11,Sports,BrandD,49296,45970,184,6740,98,2.7,13.96,0,1,1,60
17,Electronics,BrandD,40879,10441,206,53412,85,3.93,1.9,1,1,0,222
38,Sports,BrandA,17797,23442,57,11004,86,2.75,17.95,0,1,4,56
24,Sports,BrandA,2511,25403,184,31041,4,3.62,18.05,0,0,3,61
5,Home,BrandE,44514,39409,141,5458,82,4.85,1.94,1,0,3,70
34,Fashion,BrandD,47058,57496,186,17710,69,4.88,29.18,1,1,6,95
6,Electronics,BrandB,12238,38323,5,32358,19,3.1,16.32,0,1,1,52
22,Home,BrandA,29297,23631,48,49702,2,4.06,16.79,0,0,1,83
11,Fashion,BrandE,47998,24280,231,38482,12,3.69,15.6,1,0,4,93
48,Fashion,BrandD,11620,55763,102,2075,81,4.69,18.32,1,1,1,68
16,Beauty,BrandD,9267,56333,212,34649,74,3.18,7.93,0,0,2,60
33,Electronics,BrandB,23352,15866,269,22792,98,2.51,8.62,0,0,2,77
9,Fashion,BrandE,14203,52613,292,1190,6,2.91,15.34,1,0,5,19
6,Home,BrandD,1429,54308,275,4429,8,3.37,24.2,1,0,2,30
16,Beauty,BrandA,12451,29940,144,6674,51,3.29,1.5,1,0,2,34
29,Electronics,BrandB,26539,26691,241,53386,11,4.48,18.1,1,0,4,95
3,Sports,BrandE,49113,56213,76,20380,63,4.2,24.2,1,1,3,75
20,Home,BrandB,30004,55545,159,19024,57,3.25,4.71,0,0,2,44
36,Fashion,BrandA,17938,39256,194,32034,12,3.64,0.45,0,1,5,27
19,Fashion,BrandE,49015,33669,272,22098,73,2.74,9.38,1,1,1,78
26,Home,BrandB,6244,56012,111,35350,2,4.75,17.64,0,0,2,39
3,Fashion,BrandC,18784,11261,236,21992,8,4.84,4.15,0,1,5,77
19,Beauty,BrandA,42917,17601,46,36455,11,4.95,12.78,1,1,4,111
20,Electronics,BrandA,40248,41205,194,39053,53,4.67,16.57,0,1,6,72
32,Beauty,BrandA,7569,30720,143,3859,10,2.93,17.97,0,0,6,16
7,Fashion,BrandC,42859,26617,107,33326,85,2.62,8.23,0,1,6,74
41,Sports,BrandC,20299,2688,175,30051,84,3.95,12.0,1,0,1,398
33,Electronics,BrandD,33710,48909,277,37998,8,4.78,23.35,1,1,5,68
40,Electronics,BrandB,28726,45205,225,17765,36,2.94,28.24,0,1,2,52
39,Home,BrandD,5152,14956,217,22338,93,2.52,25.86,0,1,3,112
18,Home,BrandB,24823,53654,60,1773,76,4.51,16.93,0,1,1,61
40,Sports,BrandC,42638,22892,106,47211,14,2.69,12.31,0,0,1,69
1,Electronics,BrandC,8097,28930,196,19471,54,3.53,9.99,0,1,6,51
11,Sports,BrandD,47593,40630,204,36161,85,4.2,3.75,0,1,3,89
28,Home,BrandE,37726,46533,237,43030,86,3.09,3.2,1,0,6,88
